"npp","campagne","a","sfgui","xl","yl","croissance_5ans","ser_86","greco","ess","age13","age_1","zp","c13","reserutile","rmoy","tmoy","txmoy","tnmoy","u_tauxguit","u_txguiabiet","u_txguiaustr","u_txguialbum","wac","poids","is_gui","ssp_gui","poids_models","poids_models_tweak","sfgui_factor","npp_factor","wc2.1_30s_bio_3","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_18","troph_r","hydr_r","dens_tiges","div_rg1","div_rg1_factor","ess_factor"
"14-43-225-1-183T",2014,11,0,692200,2043600,8.99999961256981,"G22","G",61,NA,127.5,1004,2.76,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1349841376858,1,"Sain","abietis",14.1349841376858,30.2047127937762,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,5,0,692200,2043600,9.89999994635582,"G22","G",61,NA,127.5,1004,2.04,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1404811080315,1,"Sain","abietis",14.1404811080315,30.2164591395033,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,16,0,692200,2043600,15.5354999005795,"G22","G",61,NA,127.5,1004,1.28,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.144497106096,1,"Sain","abietis",14.144497106096,30.2250408306419,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,21,0,692200,2043600,17.4861997365952,"G22","G",61,NA,127.5,1004,1.47,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1436652924457,1,"Sain","abietis",14.1436652924457,30.2232633477554,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,1,1,692200,2043600,25.5999993532896,"G22","G",61,NA,127.5,1004,1.67,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1426656541922,1,"Parasité","abietis",14.1426656541922,30.2211272444496,"1","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-08-210-1-028T",2014,12,0,802200,2523600,4.90000005811453,"C20","C",19,68,114,188,2.06,157.5,979.1,10.5,15.1,5.9,1,"X ","X ","6 ",14.1403506328443,0.25,"Sain","album",3.53508765821107,7.55404508254157,"0","14-08-210-1-028T",35.6481475830078,-0.600000023841858,23.3999996185303,223,5.12008,3.35812,223.137156021357,3,"3","19"
"14-43-225-1-183T",2014,3,0,692200,2043600,7.00000021606684,"G22","G",61,NA,127.5,1004,1.14,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",39.2815523768704,1,"Sain","abietis",39.2815523768704,83.9398188268008,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,14,0,692200,2043600,15.5354999005795,"G22","G",61,NA,127.5,1004,1.28,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.144497106096,1,"Sain","abietis",14.144497106096,30.2250408306419,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,20,0,692200,2043600,16.0527005791664,"G22","G",61,NA,127.5,1004,1.33,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1442893422796,1,"Sain","abietis",14.1442893422796,30.2245968650639,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
"14-43-225-1-183T",2014,7,0,692200,2043600,17.892099916935,"G22","G",61,NA,127.5,1004,1.51,68.25,1056.3,8.65,13.4,3.9,1,"1 ","X ","X ",14.1434755414367,1,"Sain","abietis",14.1434755414367,30.2228578733189,"0","14-43-225-1-183T",34.9372406005859,-2.5,23.8999996185303,219,2.6822,3.0477,293.856108786742,1,"1","61"
